C.D.S.  -  SIMBAD4 rel 1.5  -  2016.05.31CEST18:39:28

 IdentList
----------

 # 	typed ident	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	       pm       	  plx  	 radvel  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   
---	-----------	-------------------------	---	---------------------------	----------------	-------	---------	------	------	------	------	------	---------------
106	HD207832   	HD 207832                	PM*	328.15117662 -26.02655964  	 132.05 -143.15 	  18.37	-16.55   	     ~	 9.48 	 8.79 	     ~	     ~	G5V            
107	HD5891     	HD 5891                  	*  	015.13830018 +20.29248280  	    2.64 -41.89 	   3.98	-96.80   	     ~	 9.11 	 8.11 	     ~	     ~	G5             
108	HD173416   	HR 7043                  	*  	280.90045587 +36.55660647  	    21.11 58.23 	   7.17	-61.84   	     ~	 7.092	 6.057	     ~	     ~	G8             
109	HD76700    	HD 76700                 	PM*	133.48131570 -66.80099498  	 -282.73 119.94 	  16.59	38.90    	     ~	 8.88 	 8.13 	     ~	     ~	G6V            
110	HD39091    	* pi. Men                	PM*	084.29121595 -80.46912137  	 312.01 1050.38 	  54.60	10.90    	     ~	 6.25 	 5.67 	     ~	     ~	G0V            
111	HD7449     	HD 7449                  	PM*	018.62217493 -05.04738728  	-160.79 -138.95 	  25.69	-19.75   	     ~	 8.08 	 7.48 	     ~	     ~	F9.5V          
112	HD149026   	HD 149026                	PM*	247.62341551 +38.34730883  	   -76.27 53.07 	  12.59	-18.02   	     ~	 8.75 	 8.14 	     ~	     ~	G0IV           
113	HD216437   	* rho Ind                	*  	343.66450854 -70.07370916  	   -43.89 73.04 	  37.39	-4.00    	 6.95 	 6.71 	 6.05 	     ~	     ~	G1VFe+0.3      
114	HD49674    	HD 49674                 	*  	102.87714230 +40.86775687  	  32.23 -122.70 	  22.61	12.10    	     ~	 8.83 	 8.10 	     ~	     ~	G0             
115	HD82943    	HD 82943                 	PM*	143.71140230 -12.12954813  	   3.00 -175.01 	  36.40	10.30    	     ~	 7.17 	 6.53 	     ~	     ~	F9VFe+0.5      
116	HD77338    	HD 77338                 	PM*	135.30205881 -25.52706276  	  41.13 -270.80 	  24.54	5.40     	     ~	 9.47 	 8.59 	     ~	     ~	K0IV           
117	HD220773   	HD 220773                	PM*	351.61435306 +08.64384413  	  26.90 -222.87 	  19.65	-37.70   	     ~	 7.708	 7.10 	 6.97 	 6.4  	G0             
118	HD159868   	HD 159868                	PM*	264.74802639 -43.14550926  	-231.62 -167.00 	  17.04	-23.45   	     ~	 7.96 	 7.24 	     ~	     ~	G5V            
119	HD137388   	HD 137388                	*  	233.91638034 -80.20458840  	   -46.72 43.31 	  25.49	26.20    	     ~	 9.59 	 8.70 	 8.42 	 8.37 	K2IV           
120	HD95086    	HD 95086                 	*  	164.26258750 -68.66734826  	   -41.41 12.47 	  11.06	10.10    	     ~	 7.60 	 7.36 	     ~	     ~	A8III          
121	HD100777   	HD 100777                	*  	173.96467598 -04.75569229  	   -12.49 35.42 	  20.16	1.24     	     ~	 9.19 	 8.42 	     ~	     ~	G8V            
122	HD222582   	HD 222582                	PM*	355.46470937 -05.98575923  	-144.88 -111.93 	  23.94	12.12    	     ~	 8.34 	 7.69 	     ~	     ~	G5V            
123	HD128311   	HD 128311                	BY*	219.00233452 +09.74651755  	 204.74 -249.98 	  60.60	-9.58    	 9.232	 8.441	 7.446	 6.895	 6.425	K3V            
124	HD181433   	HD 181433                	PM*	291.28986606 -66.46879899  	 -230.60 235.37 	  37.37	40.21    	     ~	 9.42 	 8.38 	     ~	     ~	K3III-IV       
125	HD4208     	HD 4208                  	PM*	011.11104636 -26.51567972  	  314.70 150.27 	  30.89	56.80    	     ~	 8.46 	 7.79 	     ~	     ~	G7VFe-1CH-0.5  
126	HD5388     	HD 5388                  	PM*	013.79954182 -47.40596545  	 -80.14 -178.07 	  18.62	39.31    	     ~	 7.21 	 6.72 	     ~	     ~	F6V            
127	HD4732     	HD 4732                  	PM*	012.30811925 -24.13667289  	   78.54 -60.14 	  17.27	26.18    	     ~	 6.84 	 5.90 	 7.09 	     ~	K0III          
128	HD99492    	* 83 Leo B               	PM*	171.69281916 +03.00632269  	 -730.81 188.97 	  55.69	3.76     	 9.467	 8.554	 7.530	 6.97 	 6.508	K2/4           
129	HD204941   	HD 204941                	PM*	323.09795624 -20.95742411  	-279.35 -125.28 	  37.17	32.1     	     ~	 9.39 	 8.48 	     ~	     ~	K2V            
130	HD196050   	HD 196050                	** 	309.46546043 -60.63448540  	 -190.72 -65.82 	  20.01	61.45    	     ~	 8.16 	 7.49 	     ~	     ~	G3V            
131	HD111232   	HD 111232                	*  	192.21563556 -68.42515207  	   26.64 112.35 	  34.08	104.10   	     ~	 8.29 	 7.61 	     ~	     ~	G8VFe-1.0      
132	HD117618   	HD 117618                	*  	203.10648096 -47.27136363  	  24.87 -125.01 	  26.34	1.60     	     ~	 7.77 	 7.17 	     ~	     ~	G0V            
133	HD180902   	HD 180902                	*  	289.82378283 -23.55815627  	   33.18 -20.50 	   9.13	-4.00    	     ~	 8.714	 7.78 	     ~	 8.87 	K0III/IV       
134	HD63454    	HD 63454                 	*  	114.84104438 -78.27897462  	  -20.82 -40.64 	  28.95	33.83    	     ~	10.42 	 9.36 	     ~	     ~	K3Vk:          
135	HD13908    	HD 13908                 	*  	034.56066899 +65.59436078  	   22.36 -37.93 	  14.05	15.90    	     ~	 8.04 	 7.51 	     ~	     ~	F8             
136	HD50499    	HD 50499                 	*  	103.00843517 -33.91555924  	   -68.95 68.96 	  21.68	36.82    	     ~	 7.82 	 7.20 	     ~	     ~	G0/2V          
137	HD154857   	HD 154857                	*  	257.81550787 -56.68079728  	   87.14 -55.92 	  15.57	28.14    	     ~	 7.93 	 7.24 	     ~	     ~	G5V            
